,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
0,2019,120 Batimentos Por Minuto,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,10.0,70.0
1,2019,3 Faces,Ficção,Irã,Estrangeira,Imovision,Distribuição Nacional,6289.0,103805.0
2,2019,45 Dias Sem Você,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,3303.0,31295.0
3,2019,A 100 Passos De Um Sonho,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,69.0,4186.0
4,2019,A Abelhinha Maya - O Filme,Animação,Alemanha,Estrangeira,Playarte,Distribuição Nacional,402.0,3531.0
5,2019,A Batalha Das Correntes,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,19579.0,425304.0
6,2019,A Bela da Tarde,Ficção,"França, Itália",Estrangeira,Zeta Filmes,Distribuição Nacional,14.0,253.0
7,2019,A Cabeça De Gumercindo Saraiva,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,195.0,1830.0
8,2019,A Caminho De Casa,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,652641.0,9445705.0
9,2019,A Casa De Veraneio,Ficção,"França, Itália",Estrangeira,Imovision,Distribuição Nacional,8001.0,137759.0
10,2019,A Casa Que Jack Construiu,Ficção,"Alemanha, Dinamarca, França, Suécia",Estrangeira,Califórnia,Distribuição Nacional,530.0,4466.0
11,2019,A Cidade Dos Piratas,Animação,Brasil,Brasileira,Lança Filmes,Distribuição Nacional,2364.0,32055.0
12,2019,A Cinco Passos De Você,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,1346982.0,19364671.0
13,2019,A Costureira De Sonhos,Ficção,"França, Índia",Estrangeira,Imovision,Distribuição Nacional,21464.0,360398.0
14,2019,A Câmera De Claire,Ficção,"Coréia do Sul, França",Estrangeira,Pandora Filmes,Distribuição Nacional,72.0,456.0
15,2019,A Espiã Vermelha,Ficção,Inglaterra,Estrangeira,Califórnia,Distribuição Nacional,35593.0,676079.0
16,2019,A Esposa,Ficção,"Estados Unidos, Reino Unido, Suécia",Estrangeira,Alpha Filmes,Distribuição Nacional,170609.0,3056791.0
17,2019,A Excêntrica Família De Gaspard,Ficção,França,Estrangeira,Bonfilm,Distribuição Nacional,39.0,344.0
18,2019,A Família Addams,Animação,"Canadá, Estados Unidos, Inglaterra",Estrangeira,Universal,Distribuição Internacional,1622344.0,24330901.0
19,2019,A Família Submersa,Ficção,"Brasil, Argentina",Brasileira,Esfera Produções,Distribuição Nacional,2538.0,38427.0
20,2019,A Favorita,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,254709.0,4988357.0
21,2019,A Fera Na Selva,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,3106.0,41232.0
22,2019,A Filosofia na Alcova,Ficção,Brasil,Brasileira,Espaço dos Satyros,Distribuição Nacional,150.0,2493.0
23,2019,A Forma Da Água,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,13.0,26.0
